country ,code,Deaths_all_ages 
Afghanistan,AFG,36.02575227
Algeria,DZA,0.120760196
American Samoa,ASM,0.925844594
Angola,AGO,202.7735496
Argentina,ARG,0.042555669
Armenia,ARM,0.011747303
Azerbaijan,AZE,0.045855543
Bangladesh,BGD,7.412485977
Belize,BLZ,0.466280815
Benin,BEN,495.1362599
Bermuda,BMU,0.057759626
Bhutan,BTN,16.9595891
Bolivia,BOL,0.50408554
Botswana,BWA,5.314831074
Brazil,BRA,0.232619906
Burkina Faso,BFA,1303.748915
Burundi,BDI,432.007152
Cambodia,KHM,86.26109344
Cameroon,CMR,711.21094
Cape Verde,CPV,0.355134805
Central African Republic,CAF,496.8148608
Chad,TCD,277.029908
China,CHN,0.083745411
Colombia,COL,0.635927711
Comoros,COM,4.259940763
Congo,COG,349.7354002
Costa Rica,CRI,0.033365428
Cote d'Ivoire,CIV,747.0953259
Democratic Republic of Congo,COD,794.0892018
Djibouti,DJI,0.378779757
Dominican Republic,DOM,0.124589581
Ecuador,ECU,0.352606794
Egypt,EGY,0.051253963
El Salvador,SLV,0.056651663
Equatorial Guinea,GNQ,774.2513475
Eritrea,ERI,41.12489339
Ethiopia,ETH,9.670821882
Gabon,GAB,296.1011471
Gambia,GMB,107.221643
Georgia,GEO,0.02640993
Ghana,GHA,537.5903193
Guam,GUM,2.520373135
Guatemala,GTM,0.741402388
Guinea,GIN,778.5941548
Guinea-Bissau,GNB,154.5235401
Guyana,GUY,11.47085431
Haiti,HTI,0.5967554
Honduras,HND,1.912868408
India,IND,23.21521579
Indonesia,IDN,13.21202893
Iran,IRN,0.079273868
Kenya,KEN,44.13090298
Kyrgyzstan,KGZ,0.030034183
Laos,LAO,1.929657469
Liberia,LBR,433.3133425
Madagascar,MDG,152.1246758
Malawi,MWI,386.8048629
Malaysia,MYS,0.326838801
Mali,MLI,1008.420737
Mauritania,MRT,43.47563955
Mauritius,MUS,0.072042762
Mexico,MEX,0.043935183
Mozambique,MOZ,518.9675103
Myanmar,MMR,87.70245681
Namibia,NAM,25.09437217
Nepal,NPL,14.99521062
Nicaragua,NIC,0.309953604
Niger,NER,1234.178485
Nigeria,NGA,898.0465068
North Korea,PRK,0.063511237
Northern Mariana Islands,MNP,1.121940143
Pakistan,PAK,22.08278001
Panama,PAN,0.070426289
Papua New Guinea,PNG,85.11816083
Paraguay,PRY,0.043981229
Peru,PER,0.16616087
Philippines,PHL,1.073816818
Puerto Rico,PRI,0.074678771
Rwanda,RWA,134.573826
Sao Tome and Principe,STP,0.893715125
Saudi Arabia,SAU,0.333877838
Senegal,SEN,172.5970926
Sierra Leone,SLE,1012.713346
Solomon Islands,SLB,18.59688894
Somalia,SOM,114.8483962
South Africa,ZAF,1.724051265
South Korea,KOR,0.030239453
South Sudan,SSD,172.6369402
Sri Lanka,LKA,0.789345048
Sudan,SDN,40.68763482
Suriname,SUR,2.604463345
Swaziland,SWZ,0.123662857
Tajikistan,TJK,0.297418296
Tanzania,TZA,210.7375515
Thailand,THA,0.418621498
Timor,TLS,1.506476975
Togo,TGO,696.4365982
Turkey,TUR,0.028784285
Uganda,UGA,544.8763712
United States Virgin Islands,VIR,0.098850272
Uzbekistan,UZB,0.026726437
Vanuatu,VUT,14.67752786
Venezuela,VEN,0.3728054
Vietnam,VNM,7.380242245
World,OWID_WRL,66.42221185
Yemen,YEM,0.154150209
Zambia,ZMB,185.5675119
Zimbabwe,ZWE,56.22028677
